Log_Nr,Name,NORD_CHTOPO,OST_CHTOPO,
1,VonRoll PH,46.95292,7.42253,
2,Europaplatz,46.94333,7.40633,
3,Rathausgasse II: ca. Höhe Taube (Bar),46.94851,7.44925,
4,Uettligen Umland,46.98041,7.38733,
5,Sportplatz/Familiengarten vor Egelsee,46.94564,7.46666,
6,Bümpliz Fröschmattstrasse,46.9402,7.38371,
7,Kreuzung Brunmatt- Schwarztorstrasse,46.9448,7.42713,
8,Wankdorf ESP,46.968,7.46248,
9,Bremgartenfriedhof,46.95029,7.42015,
10,"Länggasse, Neufeldstrasse 135",46.95791,7.4354,
11,Viererfeld Veloweg,46.96249,7.43982,
12,Egelsee Süd I: Gantrischstrasse 52,46.94701,7.47194,
13,Egelsee,46.94471,7.46442,
14,Helvetiaplatz,46.94381,7.44885,
15,Waisenhausplatz I (Ostseite): Vor Rest. Il Grissino,46.94973,7.44418,
16,Bubenbergplatz,46.94729,7.43849,
17,Rosengarten,46.95189,7.46019,
18,Aegertenstrasse 53,46.93861,7.44738,
19,Galgenfeld Neubausiedlung,46.95065,7.46992,
20,Umland Köniz,46.903399,7.394688,
21,Gaswerkareal Industrie EWB,46.9395,7.44213,
22,Matte Mühleplatz,46.94687,7.4562,
23,"Ostermundigen, Ahornstr 16",46.95575,7.49872,
25,Köniz Neubausiedlung,46.92781,7.42031,
26,Inselspital,46.94719,7.42567,
28,Pärkli bei Eigerplatz,46.94192,7.43097,
29,"Paul Klee, Senke Familienspaziergang",46.94861,7.47124,
30,Galgenfeld Industrie,46.95555,7.47194,
31,Köniz Aussenquartier,46.92041,7.40995,
32,Bremgartenwald,46.95739,7.42128,
33,Dählhölzli-Wald,46.93798,7.45656,
34,Kasernenareal,46.95696,7.45802,
35,Egelsee Süd II: Bürglenstrasse 28,46.94518,7.46887,
36,Viktoriarain,46.95519,7.44772,
37,"Lorraine, Steckweg 15",46.95896,7.44514,
38,Spiegel,46.92607,7.43739,
39,Weyermannshaus Industrie,46.9489,7.40134,
40,Rathausgasse I: St. Peter & Paul Kirche,46.94858,7.45193,
41,Monbijou-Park,46.94187,7.43462,
42,Gerechtigkeitsgasse 55,46.94813,7.45351,
45,Zytglogge,46.94828,7.44741,
46,Autobahnausfahrt Wankdorf,46.96717,7.46968,
47,Waisenhausplatz III (Mitte): Neben Brunnen,46.94984,7.44418,
48,Viererfeld,46.9651,7.43821,
50,Kreuzung Familienspaziergang / Laubeggstrasse,46.94644,7.46833,
51,Bümpliz Stöckacker,46.94302,7.39587,
52,Umland Bümpliz,46.93362,7.36586,
53,"Breitenrain, Waffenweg",46.96174,7.45191,
54,Waisenhausplatz IV (Pocketpark): vor Starbucks,46.94879,7.44376,
55,Bollwerk (Strasseninsel),46.95152,7.44077,
57,Eigerplatz,46.94077,7.43133,
58,Murifeld (vor Wohnturm 3),46.93919,7.48007,
59,Schlossmatte Familiengärten,46.94211,7.41689,
60,Roschistrasse,46.93508,7.43887,
61,Westside Center,46.94555,7.37478,
62,Felsenhaldenweg,46.974,7.44116,
63,"Wylergut, Jaunweg 11",46.96766,7.44922,
65,Umland Bolligen,46.96682,7.50376,
68,Gleisfeld Welle,46.94832,7.43365,
69,Eisenbahnquartier,46.93719,7.42312,
70,Bundesplatz,46.94692,7.44354,
71,Hirschengraben,46.94658,7.43786,
73,"Obstberg, Wattenwylweg 32",46.94714,7.46407,
74,Waisenhausplatz II (Westseite): vor Rest. Luce,46.94917,7.44437,
76,"Wabern, Viktoriastrasse 9",46.93122,7.45326,
77,Viererfeld Wald,46.96406,7.43582,
78,Dalmazibrücke,46.94446,7.44571,
79,Umland Belp,46.89942,7.51182,
80,Elfenau Kreuzung Hofmeister- Matterstrasse (Wegli),46.9356,7.46954,
82,Thunplatz,46.94065,7.45822,
83,Stadtlabor,46.96312,7.46255,
85,Ensingerstrasse 28,46.94244,7.46132,
86,"Ostermundigen, Lötschenstr 13",46.95289,7.48707,
87,Engehalde Stauwehr,46.96547,7.44504,
98,Zollikofen Referenz 2m,46.9908,7.46403,
99,Zollikofen Referenz 3m,46.9908,7.46403,
101,"Steinhölzliwald, (Zugang: Goumoenstr. 58)",46.93514,7.42805,
102,"Vorderes LG-Quartier, Falkenweg 5",46.9517,7.43714,
110,Rosalia-Wenger Platz,46.96823,7.4639,
111,Tellstrasse,46.96014,7.46147,
112,"Ausserholligen 1, Post",46.94757,7.40189,
113,"Ausserholligen 2, ewb",46.94543,7.40643,
114,"Bachmätteli 1, Polizei",46.94019,7.39051,
115,Bachmätteli 2,46.93996,7.39007,
116,Ansermetplatz,46.94791,7.37808,
117,Köniztal,46.90963,7.442463,
118,Helvetiaplatz Monitoring,46.94359,7.44936,
119,Rosalia-Wenger Platz Monitoring,46.96762,7.46401,
122,"Waisenhausplatz II, vor Rest. Luce",46.94917,7.44437,
124,Käfigturm,46.94826,7.44361,
125,"Bärenplatz, Schachfeld",46.94734,7.44366,
131,Marzili Beton,46.94238,7.44103,
132,Marzili Entsiegelung,46.94222,7.4406,
133,Marzili Rasen,46.94216,7.4408,
141,Viererfeld 2 (Schacht),46.96271,7.43689,
142,Viererfeld 3 (Strasse Süd),46.96286,7.44009,
143,Viererfeld 4 (Strasse Nord),46.96523,7.44165,
151,Ostermundigen BäreTower,46.95563,7.48114,
152,Ostermundigen Moosweg,46.95813,7.48807,
153,Ostermundigen Wegmühlegässli,46.95807,7.4937,
154,Ostermundigen Oberfeld,46.9581,7.49792,
155,Ostermundigen Milchstrasse,46.96241,7.48202,